active_date,user_id,device_id,total_activity
2023-01-10,6191bd7a6a1c730006499bcf,54f088efc7a9b9461467c8eb,91
2023-01-10,6266a9f214e79700091a68fe,54f088efc7a9b9461467c8eb,49
2023-01-10,603fc562dc5db80006d82a0e,58a6f999c6a4078d51afe031,111
2023-01-10,63b7047df028d80007bff7c2,58a6f999c6a4078d51afe031,280
2023-01-10,5b1f8ff4a6ec410844c6a0a8,58a6f999c6a4078d51afe031,30
2023-01-10,633ac0b777d9b900078f2412,58a6f999c6a4078d51afe031,37
2023-01-10,58aef797b292bc1041514355,58aefa3dd48122292e498cae,92
2023-01-10,5d67874dbed6700008dec82b,58c80ec0fe1b03791a893efe,90
2023-01-10,60e2b320da2454000607d42c,58c80ec0fe1b03791a893efe,116
2023-01-10,58db9ca037616fa3242c7cdc,58db9d0ce8f63a0412f444b8,215
2023-01-10,5afc2a5d2539f786141bb125,58e2197d074c59ad53bcca73,65
2023-01-10,60dd4769fa255d0006ab0971,58f08dad8fc981ac76ef0676,75
2023-01-10,5edaafd0a76db6000895c9b9,58fe519853e6301119419824,44
2023-01-10,6217fc108908ed0008501b94,58fe519853e6301119419824,60
2023-01-10,5f777fbcd94b550006bac9f8,58fe519853e6301119419824,56
2023-01-10,62101b39f1c1380008ee939a,58fe519853e6301119419824,46
2023-01-10,590e8910ed588e101850abde,590fa7e549dfb5bc63e381d4,58
2023-01-10,5fa117d6535b9100063dc7d6,5913f8a4d55ed5802f26869b,65
2023-01-10,592f8b0f5320cd1d564819cc,592bc94d75e19b254af556c3,77
2023-01-10,63725c17a889af000738b826,594f24c8839e1a752ae9d0ca,37
2023-01-10,59ea15925a40fe844c39cec0,594f24c8839e1a752ae9d0ca,572
2023-01-10,59a8435f2bd1a48f0991c556,594f24c8839e1a752ae9d0ca,40
2023-01-10,59a845a9d26f2f687a25e7a8,594f24c8839e1a752ae9d0ca,91
2023-01-10,59622889f0ba30a465b6298b,5962295b853967833743c71f,54
2023-01-10,5ade080c9e744c8851d5aa40,596b13e6b57111e20a3a4ecf,66
2023-01-10,5a77c143c21fa8e22bad9484,598b0b5d89db167559f552c4,81
2023-01-10,598aaf0a9270d9a52e2a1bb6,598b0b5d89db167559f552c4,67
2023-01-10,5f276c4acee1b60008c96a52,598b0b5d89db167559f552c4,114
2023-01-10,59a7fadb2aa03eda15bd04ed,59a7faad123919df077b6bfe,43
2023-01-10,5c506603f3dcdf000867b426,59a7faad123919df077b6bfe,42
2023-01-10,59bfcf2dfb67899b03059253,59bfcf1da64cde4459291655,135
2023-01-10,5cb7c81eb2a7d90008dd5e0e,59d16d5cee6303cf25cecce4,44
2023-01-10,59fc0107b2fa105a1a4cc327,59eab079e57e7a7d18741e32,74
2023-01-10,59f7d17b39fdf8c40e0b7578,59f7d0e42475ca895605fa4b,32
2023-01-10,628f73a3c5d842000ada7722,5a01e4b0558b8c0b0d2f9b37,58
2023-01-10,5af698043fc0903f0f087f54,5a0c5c1b1bb64621508bd785,47
2023-01-10,5a15543bd3da08b4081a5b8d,5a121f89b8bfb6926e752320,43
2023-01-10,5a20f16c2a2831550c7bdee0,5a121f89b8bfb6926e752320,73
2023-01-10,5a23a9e0815a4841689811ed,5a121f89b8bfb6926e752320,59
2023-01-10,5cd0c5a1c53b9c0008625c92,5a121f89b8bfb6926e752320,45
2023-01-10,5c9d76c8190af4000874affe,5a121f89b8bfb6926e752320,41
2023-01-10,6311499997007f000804af61,5a12915dd576743f6e1b25b4,126
2023-01-10,5b7a2001677b63f96b8dba60,5a12915dd576743f6e1b25b4,82
2023-01-10,5a169531719830e60af26dd9,5a16836c9f649f661aaeebc8,38
2023-01-10,5a169531719830e60af26ddc,5a16836c9f649f661aaeebc8,54
2023-01-10,5c8a53a1aa0a9f0af8b25a7d,5a16836c9f649f661aaeebc8,68
2023-01-10,5afa641f5a796c76242d390b,5a1a31dab76fa08e585640b0,52
2023-01-10,5a1b8ae8966ec5de535840c4,5a1a31dab76fa08e585640b0,63
2023-01-10,5b83aeeff9e4f9e64d1c7d90,5a1a31dab76fa08e585640b0,50
2023-01-10,5a24bc50d70498a550908833,5a20d6b20e839d1e697e4dbc,75
