event_date,currency,central_rate,cash,bank_transfer,sell_price
20240229,THB,0.0,634.12,674.12,702.12
20240229,HKD,0.0,3.017,3.027,3.222
20240229,USD,24.002,24.39,24.43,24.85
20240229,SGD,0.0,17.752,17.762,18.562
20240229,SEK,0.0,0.0,2.302,2.437
20240229,NZD,0.0,14.737,14.747,15.327
20240229,NOK,0.0,0.0,2.24,2.36
20240229,KRW,0.0,16.24,16.44,20.24
20240229,JPY,0.0,160.23,160.38,169.93
20240229,LAK,0.0,0.0,0.68,1.38
20240229,GBP,0.0,30.569,30.579,31.749
20240229,EUR,0.0,25.773,25.983,27.273
20240229,DKK,0.0,0.0,3.483,3.653
20240229,CNY,0.0,0.0,3.358,3.498
20240229,CHF,0.0,27.382,27.402,28.352
20240229,CAD,0.0,17.849,17.859,18.559
20240229,AUD,0.0,15.707,15.727,16.327
20240228,KRW,0.0,16.24,16.44,20.24
20240228,CHF,0.0,27.478,27.498,28.448
20240228,CNY,0.0,0.0,3.352,3.492
20240228,DKK,0.0,0.0,3.49,3.66
20240228,EUR,0.0,25.827,26.037,27.327
20240228,GBP,0.0,30.611,30.621,31.791
20240228,HKD,0.0,3.017,3.027,3.222
20240228,JPY,0.0,159.21,159.36,168.91
20240228,USD,24.003,24.385,24.425,24.845
20240228,LAK,0.0,0.0,0.68,1.38
20240228,NOK,0.0,0.0,2.246,2.366
20240228,NZD,0.0,14.725,14.735,15.315
20240228,SEK,0.0,0.0,2.307,2.442
20240228,SGD,0.0,17.736,17.746,18.546
20240228,THB,0.0,630.83,670.83,698.83
20240228,AUD,0.0,15.668,15.688,16.288
20240228,CAD,0.0,17.832,17.842,18.542
20240227,GBP,0.0,30.711,30.721,31.891
20240227,SGD,0.0,17.784,17.794,18.594
20240227,SEK,0.0,0.0,2.318,2.453
20240227,NZD,0.0,14.956,14.966,15.546
20240227,NOK,0.0,0.0,2.262,2.382
20240227,LAK,0.0,0.0,0.69,1.39
20240227,KRW,0.0,16.31,16.51,20.31
20240227,JPY,0.0,159.64,159.79,169.34
20240227,HKD,0.0,3.019,3.029,3.224
20240227,USD,24.014,24.39,24.43,24.85
20240227,EUR,0.0,25.884,26.094,27.384
20240227,DKK,0.0,0.0,3.498,3.668
20240227,CNY,0.0,0.0,3.353,3.493
20240227,CHF,0.0,27.523,27.543,28.493
20240227,CAD,0.0,17.92,17.93,18.63
20240227,AUD,0.0,15.822,15.842,16.442
20240227,THB,0.0,634.03,674.03,702.03
20240226,AUD,0.0,15.801,15.821,16.421
20240226,LAK,0.0,0.0,0.69,1.39
20240226,CNY,0.0,0.0,3.358,3.498
20240226,EUR,0.0,25.902,26.112,27.402
20240226,GBP,0.0,30.709,30.719,31.889
20240226,HKD,0.0,3.023,3.033,3.228
20240226,JPY,0.0,159.41,159.56,169.11
20240226,KRW,0.0,16.31,16.51,20.31
20240226,CAD,0.0,17.943,17.953,18.653
20240226,NOK,0.0,0.0,2.265,2.385
20240226,NZD,0.0,14.96,14.97,15.55
20240226,SEK,0.0,0.0,2.322,2.457
20240226,SGD,0.0,17.783,17.793,18.593
20240226,THB,0.0,633.33,673.33,701.33
20240226,USD,24.004,24.42,24.46,24.88
20240226,CHF,0.0,27.492,27.512,28.462
20240226,DKK,0.0,0.0,3.5,3.67
20240224,USD,23.996,24.39,24.43,24.85
20240224,SGD,0.0,17.782,17.792,18.592
20240224,SEK,0.0,0.0,2.311,2.446
20240224,NZD,0.0,15.004,15.014,15.594
20240224,NOK,0.0,0.0,2.257,2.377
20240224,LAK,0.0,0.0,0.68,1.38
